Nodes	KezdyMcGuinness		BoyerMyrvold	Separators	PlanarComponents	AugmentedComponents		K5s			Edges		K5Free		ContainsSeparator	Planar
10		0.00582278			0.00481013		0			1					1						0			10.7848		1			0					1
11		0.0065625			0.00492188		0.047619	1.10317				1.10317					0.015625	12.7266		0.984375	0.0390625			0.945312
12		0.00673611			0.00534722		0.0140845	1.04225				1.04225					0.0138889	13.5069		0.986111	0.0138889			0.972222
13		0.00695652			0.00546584		0.0188679	1.05031				1.05031					0.0124224	15.205		0.987578	0.0186335			0.968944
14		0.00715976			0.00556213		0.0119048	1.02976				1.02976					0.00591716	16.1834		0.994083	0.0118343			0.982249
15		0.00821229			0.00614525		0.0342857	1.09714				1.09714					0.0223464	18.0782		0.977654	0.0335196			0.944134
16		0.00790419			0.0057485		0.0310559	1.06832				1.06832					0.0359281	19.1916		0.964072	0.0299401			0.934132
17		0.00953333			0.00773333		0.0275862	1.09655				1.10345					0.0333333	20.4133		0.966667	0.0266667			0.94
18		0.010678			0.0079661		0.0625		1.17857				1.1875					0.0508475	21.9576		0.949153	0.059322			0.889831
19		0.0108929			0.00866071		0.0594059	1.20792				1.21782					0.0982143	23.25		0.901786	0.0535714			0.848214
20		0.0110753			0.00860215		0.0361446	1.07229				1.07229					0.107527	23.9785		0.892473	0.0322581			0.870968
21		0.0138235			0.00931373		0.0941176	1.25882				1.30588					0.166667	25.9804		0.833333	0.0686275			0.77451
22		0.0139759			0.00891566		0.109589	1.27397				1.28767					0.120482	26.8313		0.879518	0.0963855			0.795181
23		0.0136842			0.00868421		0.0606061	1.21212				1.24242					0.131579	27.8421		0.868421	0.0526316			0.815789
24		0.0128767			0.0090411		0.0153846	1.03077				1.03077					0.109589	28.6301		0.890411	0.0136986			0.876712
25		0.0132558			0.00965116		0.0506329	1.1519				1.17722					0.0813953	29.6047		0.918605	0.0465116			0.872093
26		0.0154217			0.00951807		0.111111	1.31944				1.36111					0.13253		30.759		0.86747		0.0843373			0.783133
27		0.0146237			0.0105376		0.05		1.175				1.175					0.139785	31.9892		0.860215	0.0430108			0.817204
28		0.0145679			0.0109877		0.0294118	1.10294				1.11765					0.160494	33.679		0.839506	0.0246914			0.814815
29		0.0142029			0.0113043		0.04		1.14				1.18					0.275362	35.2174		0.724638	0.0289855			0.695652
30		0.0172581			0.0124194		0.0652174	1.21739				1.26087					0.258065	36.7097		0.741935	0.0483871			0.693548
31		0.0189412			0.0121176		0.126761	1.28169				1.28169					0.164706	37.6235		0.835294	0.105882			0.752941
32		0.0164341			0.0109302		0.13		1.45				1.52					0.224806	38.1163		0.775194	0.100775			0.674419
33		0.0208434			0.0143976		0.152672	1.44275				1.46565					0.210843	40.247		0.789157	0.114458			0.680723
34		0.0204787			0.0144681		0.123188	1.34058				1.35507					0.265957	40.867		0.734043	0.0744681			0.670213
35		0.0238265			0.0156633		0.217742	1.54839				1.58871					0.367347	43.2143		0.632653	0.132653			0.52551
36		0.0261868			0.0173152		0.284404	1.86239				1.94495					0.575875	45.4825		0.424125	0.11284				0.322957
37		0.0267333			0.0182			0.304688	1.77344				1.83594					0.573333	47.47		0.426667	0.116667			0.336667
38		0.0268051			0.0182748		0.27193		1.4386				1.46491					0.635783	48.6837		0.364217	0.0990415			0.309904
39		0.0287316			0.020118		0.346535	1.78218				1.83168					0.701183	50.9351		0.298817	0.0857988			0.233728
40		0.02775				0.02025			0.241935	1.43548				1.46774					0.778571	52.1643		0.221429	0.0535714			0.189286
41		0.0292609			0.0212609		0.296296	1.72222				1.7963					0.765217	53.6609		0.234783	0.0695652			0.178261
42		0.0324324			0.0223423		0.5			2.17391				2.26087					0.792793	55.6036		0.207207	0.0900901			0.144144
43		0.0325				0.0231897		0.526316	2.36842				2.60526					0.836207	56.8707		0.163793	0.0775862			0.112069
44		0.0326263			0.0236364		0.384615	1.87179				1.92308					0.80303		58.0404		0.19697		0.0656566			0.146465
45		0.0329825			0.024386		0.323529	1.73529				1.85294					0.80117		59.4971		0.19883		0.0643275			0.157895
46		0.0347297			0.0254054		0.444444	2.14815				2.48148					0.817568	61.3176		0.182432	0.0743243			0.128378
47		0.0335714			0.0255556		0.210526	1.47368				1.52632					0.849206	61.9762		0.150794	0.031746			0.134921
48		0.0352083			0.025625		0.333333	1.66667				1.66667					0.78125		62.8333		0.21875		0.0729167			0.177083
49		0.0356701			0.025567		0.428571	1.5					1.5						0.85567		63.8969		0.14433		0.0515464			0.123711
50		0.0344068			0.0266102		0.1			1					1						0.830508	65.4237		0.169492	0.0169492			0.169492
51		0.037375			0.027625		0.272727	1.27273				1.27273					0.8625		67.275		0.1375		0.0375				0.125
52		0.0395506			0.0288764		0.857143	2.71429				3.42857					0.921348	69.0562		0.0786517	0.0674157			0.0449438
53		0.0415652			0.03			0.727273	2.45455				2.54545					0.904348	70.7739		0.0956522	0.0695652			0.0608696
54		0.0403704			0.0307407		0.666667	2.33333				2.33333					0.944444	71.963		0.0555556	0.0277778			0.037037
55		0.0410236			0.0309449		0.384615	1.53846				1.53846					0.897638	73.1024		0.102362	0.0393701			0.0866142
56		0.0448905			0.0312409		0.75		1.25				1.25					0.912409	74.7372		0.0875912	0.0656934			0.080292
57		0.0422642			0.0333019		0.5			2					2						0.981132	76.3302		0.0188679	0.00943396			0.00943396
58		0.0454783			0.0331304		0.555556	1					1						0.921739	76.8435		0.0782609	0.0434783			0.0782609
59		0.0475229			0.0345872		1.66667		3					3.33333					0.972477	78.9541		0.0275229	0.0458716			0.00917431
60		0.0446565			0.0334351		0.5			1.33333				1.33333					0.954198	79.4809		0.0458015	0.0152672			0.0381679
61		0.0519876			0.0365839		1.57143		3.28571				3.42857					0.956522	82.6087		0.0434783	0.068323			0.0124224
62		0.0468212			0.0365563		0			1					1						0.986755	83.6755		0.013245	0					0.013245
63		0.0498387			0.0379032		0.666667	3					3						0.975806	84.5887		0.0241935	0.00806452			0.016129
64		0.0477686			0.0347934		3			8					8						0.991736	85.6777		0.00826446	0.0247934			0
65		0.0574545			0.0423636		1			1					1						0.972727	87.4273		0.0272727	0.0272727			0.0272727
66		0.0558163			0.0446939		0			1					1						0.989796	88.5204		0.0102041	0					0.0102041
67		0.0574257			0.0442574		0.4			1.8					1.8						0.950495	89.0693		0.049505	0.019802			0.039604
68		0.0598901			0.0462637		1			1					1						0.989011	91.2637		0.010989	0.010989			0.010989
69		0.0605952			0.0435714		0.5			1					1						0.952381	91.4881		0.047619	0.0238095			0.047619
70		0.06				0.047037		0			1					1						0.987654	94.1728		0.0123457	0					0.0123457
71		0.0628571			0.0502198		1			1					1						0.978022	94.7253		0.021978	0.021978			0.021978
72		0.0631522			0.0468478		1			1					1						0.978261	95.9348		0.0217391	0.0217391			0.0217391
73		0.0634118			0.0477647		0			0					0						1			96.4235		0			0.0235294			0
74		0.0645283			0.0490566		0			0					0						1			98.434		0			0.0283019			0
75		0.0634259			0.049537		0			1					1						0.990741	100.352		0.00925926	0					0.00925926
76		0.0672321			0.0523214		0			0					0						1			102.375		0			0					0
77		0.064				0.0503333		0			1					1						0.991667	102.708		0.00833333	0					0.00833333
78		0.067				0.0518333		0			0					0						1			104.25		0			0.00833333			0
79		0.0672043			0.0529032		0			0					0						1			106.602		0			0					0
80		0.0741176			0.055			0			0					0						1			108.863		0			0.0294118			0
81		0.0707692			0.0538462		0			0					0						1			109.308		0			0					0
82		0.0751136			0.0569318		0			0					0						1			111.33		0			0.0113636			0
83		0.0733721			0.0568605		0			0					0						1			111.791		0			0					0
84		0.0741026			0.0571795		0			0					0						1			113.372		0			0.0128205			0
85		0.0738356			0.0576712		0			0					0						1			114.521		0			0					0
86		0.0742857			0.0571429		0			0					0						1			116.3		0			0					0
87		0.0741176			0.0582353		0			0					0						1			117.544		0			0					0
88		0.0736232			0.0581159		0			0					0						1			118.203		0			0					0
89		0.0722222			0.0568254		0			1					1						0.984127	118.444		0.015873	0					0.015873
90		0.0798305			0.0615254		0			0					0						1			121.949		0			0					0
91		0.0771552			0.0601724		0			0					0						1			122.043		0			0					0
92		0.0846218			0.0616807		0			0					0						1			124.37		0			0.0336134			0
93		0.0815672			0.0630597		0			0					0						1			125.246		0			0.0149254			0
94		0.0812338			0.062013		0			0					0						1			127.104		0			0.012987			0
95		0.0829496			0.0639568		0			0					0						1			129.072		0			0					0
96		0.0837162			0.0629054		2			9					10						0.993243	128.946		0.00675676	0.00675676			0
97		0.0846763			0.0646043		0			0					0						1			131.259		0			0.00719424			0
98		0.0868531			0.0657343		0			0					0						1			133.133		0			0.00699301			0
99		0.0911806			0.0670139		0			0					0						1			134.618		0			0.0277778			0
100		0.0887143			0.0657857		0			0					0						1			135.221		0			0.0142857			0
