Nodes	KezdyMcGuinness
11		0.022
12		0.025
13		0.0233333
14		0.015
15		0.0233333
16		0.018
17		0.0275
18		0.0328571
19		0.0316667
20		0.025
21		0.0266667
22		0.0257143
23		0.0375
24		0.05
25		0.035
26		0.0414286
27		0.04
28		0.02
29		0.065
30		0.0466667
31		0.0371429
32		0.0369231
33		0.0494444
34		0.0583333
35		0.0452381
36		0.0507692
37		0.0540741
38		0.0470588
39		0.06
40		0.0533333
41		0.0484615
42		0.0685714
43		0.0616667
44		0.062
45		0.0585714
46		0.0625
47		0.045
48		0.065
49		0.1
51		0.06
52		0.0866667
53		0.07
54		0.075
55		0.06
56		0.06
57		0.05
59		0.075
60		0.07
61		0.098
63		0.13
64		0.08
67		0.08
96		0.19
